typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C04,,0,2100,,-1,,0.0,False,-1,,0.0,False,13.0,False,0,False,,50565.801,50565.801,0,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C03,,0,0,,-1,,0.0,False,-1,,0.0,False,269251483.23,True,0,False,,9590265889.597,9590265889.597,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C04,,0,0,,-1,,0.0,False,-1,,0.0,False,1075.559,True,0,False,,921676.451,921676.451,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C04,,0,3200,,-1,,0.0,False,-1,,0.0,False,27.453,True,0,False,,27007.818,27007.818,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C03,,0,0,,-1,,0.0,False,-1,,0.0,False,269251483.23,True,0,False,,9590265889.597,9590265889.597,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C07,,0,2100,,-1,,0.0,False,-1,,0.0,False,3207.064,True,0,False,,705424.371,705424.371,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,9861177.476,True,0,False,,4993879411.463,4993879411.463,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C07,,0,1000,,-1,,0.0,False,-1,,0.0,False,1540.567,True,0,False,,760024.508,760024.508,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,336705.299,True,0,False,,119855916.442,119855916.442,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C04,,0,3200,,-1,,0.0,False,-1,,0.0,False,27.453,True,0,False,,27007.818,27007.818,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,15224861.537,True,0,False,,151942280.526,151942280.526,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C03,,0,2100,,-1,,0.0,False,-1,,0.0,False,15221641.474,True,0,False,,151186290.354,151186290.354,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,269283456.386,True,0,False,,9609963010.901,9609963010.901,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C00,,0,3100,,-1,,0.0,False,-1,,0.0,False,237292.932,True,0,False,,3991539.628,3991539.628,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C00,,0,2200,,-1,,0.0,False,-1,,0.0,False,1.726,True,0,False,,1271.716,1271.716,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C03,,0,9200,,-1,,0.0,False,-1,,0.0,False,336705.299,True,0,False,,119855916.442,119855916.442,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C00,,0,3200,,-1,,0.0,False,-1,,0.0,False,243623417.416,True,0,False,,4340292591.126,4340292591.126,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C03,,0,2200,,-1,,0.0,False,-1,,0.0,False,1.726,True,0,False,,1271.716,1271.716,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C03,,0,3200,,-1,,0.0,False,-1,,0.0,False,243598507.57,True,0,False,,4326058758.671,4326058758.671,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C06,,0,1000,,-1,,0.0,False,-1,,0.0,False,1267.573,True,0,False,,3103171.336,3103171.336,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C03,,0,2200,,-1,,0.0,False,-1,,0.0,False,1.726,True,0,False,,1271.716,1271.716,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,0,,,H6,HS,True,8541,,,,C03,,0,3200,,-1,,0.0,False,-1,,0.0,False,243598507.57,True,0,False,,4326058758.671,4326058758.671,4,False,True
C,A,20220101,2022,52,2022,276,,,X,,0,,,899,,,H6,HS,True,8541,,,,C04,,0,2100,,-1,,0.0,False,-1,,0.0,False,13.0,False,0,False,,50565.801,50565.801,0,False,True
