STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2007,2010,2012,2014,2016,2018,2023
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,COL,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_SC_LB,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Colombia,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Score - Lower bound,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,2.601044,2.655517,2.446349,2.43164,2.771627,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,COL,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_IS,WB_LPI_SC,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Colombia,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: International Shipping,Metric: Score,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,2.61111,2.540532,2.759784,2.717677,2.550313,3.194444,3.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,CAN,LPI_TRC,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Canada,Logistics Performance Index (LPI): Tracking and tracing component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,3.97778,4.005055,3.856377,3.968199,4.100897,3.809804,4.1
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,AFG,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_LOG,WB_LPI_SC,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Afghanistan,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Logistics,Metric: Score,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,1.25,2.090449,2.162592,2.119709,2.145073,1.919246,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,MUS,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_IS,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Mauritius,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: International Shipping,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,121.0,33.0,113.0,109.0,,151.0,138.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,TGO,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_LOG,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Togo,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Logistics,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,94.0,94.0,124.0,150.0,106.0,134.0,110.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,ETH,LPI_TRC,_Z,_Z,_Z,SCORE,WB_LPI_RK,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Ethiopia,Logistics Performance Index (LPI): Tracking and tracing component,Not applicable,Not applicable,Not applicable,Score,Metric: Rank,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,141.0,67.0,144.0,97.0,133.0,,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,TJK,LPI_CTMS,_Z,_Z,_Z,SCORE,WB_LPI_RK,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Tajikistan,Logistics Performance Index (LPI): Customs and other border control component,Not applicable,Not applicable,Not applicable,Score,Metric: Rank,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,140.0,147.0,85.0,115.0,150.0,150.0,110.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,KGZ,LPI_TML,_Z,_Z,_Z,SCORE,WB_LPI_RK,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Kyrgyz Republic,Logistics Performance Index (LPI): Timeliness of shipments component,Not applicable,Not applicable,Not applicable,Score,Metric: Rank,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,109.0,106.0,135.0,155.0,126.0,106.0,130.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,NGA,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_RK_LB,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Nigeria,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Rank - Lower bound,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,74.0,90.0,59.0,74.0,64.0,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,MKD,LPI_CTMS,_Z,_Z,_Z,SCORE,WB_LPI_RK,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,North Macedonia,Logistics Performance Index (LPI): Customs and other border control component,Not applicable,Not applicable,Not applicable,Score,Metric: Rank,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,126.0,61.0,120.0,116.0,127.0,91.0,43.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,SLB,LPI_TML,_Z,_Z,_Z,SCORE,WB_LPI_RK,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Solomon Islands,Logistics Performance Index (LPI): Timeliness of shipments component,Not applicable,Not applicable,Not applicable,Score,Metric: Rank,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,139.0,115.0,93.0,102.0,121.0,87.0,65.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,MLT,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_IS,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Malta,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: International Shipping,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,64.0,37.0,41.0,55.0,89.0,57.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,SLB,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_CTMS,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Solomon Islands,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Customs,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,144.0,127.0,95.0,91.0,79.0,52.0,90.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,NPL,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_INF,WB_LPI_SC,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Nepal,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Infrastructure,Metric: Score,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,1.76923,1.8,1.86963,2.261434,2.266667,2.194139,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,TTO,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_CTMS,WB_LPI_SC,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Trinidad and Tobago,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Customs,Metric: Score,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,,,,2.377717,2.423196,2.2
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,GMB,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_INF,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,"Gambia, The",Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Infrastructure,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,76.0,110.0,147.0,149.0,,155.0,108.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,VEN,LPI_CTMS,_Z,_Z,_Z,SCORE,WB_LPI_SC,_Z,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,"Venezuela, RB",Logistics Performance Index (LPI): Customs and other border control component,Not applicable,Not applicable,Not applicable,Score,Metric: Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,2.36735,2.056281,2.097657,2.391304,1.985438,1.787384,2.1
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,EGY,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_RK_LB,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,"Egypt, Arab Rep.",Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Rank - Lower bound,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,52.0,40.0,40.0,44.0,45.0,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,BGD,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_RK_LB,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Bangladesh,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Rank - Lower bound,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,57.0,,81.0,72.0,68.0,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,ATG,LPI_OVR,_Z,_Z,_Z,SCORE,WB_LPI_INF,WB_LPI_RK,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Antigua and Barbuda,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Component: Infrastructure,Metric: Rank,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,,,,,,,68.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A2,MEX,LPI_OVR,_Z,_Z,_Z,SCORE,_T,WB_LPI_CI,_Z,_Z,NUMBER,2,WB_LPI,602,0,PU,A,Biennial,Mexico,Logistics Performance Index (LPI) Overall Score,Not applicable,Not applicable,Not applicable,Score,Total,Metric: Confidence Interval,Not Applicable,Not Applicable,Number (real number),Two,Logistics Performance Index (LPI),CCYY,Units,Normal value,Public,0.05264440014658021,,,,,,
