prev_value,lpi_score,event_count,avg_tone,avg_goldstein
96951.073,4.2,3674,-1.7952318546673698,1.1387316276537833
8064201402.705,4.2,3674,-1.7952318546673698,1.1387316276537833
4316362700.127,4.2,3674,-1.7952318546673698,1.1387316276537833
865788.22,4.2,3674,-1.7952318546673698,1.1387316276537833
844102.833,4.2,3674,-1.7952318546673698,1.1387316276537833
50565.801,4.2,3674,-1.7952318546673698,1.1387316276537833
9590265889.597,4.2,3674,-1.7952318546673698,1.1387316276537833
921676.451,4.2,3674,-1.7952318546673698,1.1387316276537833
27007.818,4.2,3674,-1.7952318546673698,1.1387316276537833
9590265889.597,4.2,3674,-1.7952318546673698,1.1387316276537833
705424.371,4.2,3674,-1.7952318546673698,1.1387316276537833
4993879411.463,4.2,3674,-1.7952318546673698,1.1387316276537833
760024.508,4.2,3674,-1.7952318546673698,1.1387316276537833
119855916.442,4.2,3674,-1.7952318546673698,1.1387316276537833
27007.818,4.2,3674,-1.7952318546673698,1.1387316276537833
151942280.526,4.2,3674,-1.7952318546673698,1.1387316276537833
151186290.354,4.2,3674,-1.7952318546673698,1.1387316276537833
9609963010.901,4.2,3674,-1.7952318546673698,1.1387316276537833
3991539.628,4.2,3674,-1.7952318546673698,1.1387316276537833
1271.716,4.2,3674,-1.7952318546673698,1.1387316276537833
119855916.442,4.2,3674,-1.7952318546673698,1.1387316276537833
4340292591.126,4.2,3674,-1.7952318546673698,1.1387316276537833
1271.716,4.2,3674,-1.7952318546673698,1.1387316276537833
4326058758.671,4.2,3674,-1.7952318546673698,1.1387316276537833
3103171.336,4.2,3674,-1.7952318546673698,1.1387316276537833
1271.716,4.2,3674,-1.7952318546673698,1.1387316276537833
4326058758.671,4.2,3674,-1.7952318546673698,1.1387316276537833
50565.801,4.2,3674,-1.7952318546673698,1.1387316276537833
9609963010.901,4.2,3674,-1.7952318546673698,1.1387316276537833
3109096.834,4.2,3674,-1.7952318546673698,1.1387316276537833
844102.833,4.2,3674,-1.7952318546673698,1.1387316276537833
3103171.336,4.2,3674,-1.7952318546673698,1.1387316276537833
